Jan 2, 2020!&^https://www.bbc.com/news/entertainment-arts-50850133
Mar 15, 2020!&^https://www.bbc.com/news/uk-england-bristol-51893095
Mar 16, 2020!&^https://www.bbc.com/news/entertainment-arts-51912510
Mar 15, 2020!&^https://www.bbc.com/pidgin/tori-51898668
Mar 15, 2020!&^https://www.bbc.com/mundo/noticias-51893598
Mar 18, 2020!&^https://www.bbc.com/news/world-asia-51939911
Mar 17, 2020!&^https://www.bbc.com/news/business-51916177
Mar 18, 2020!&^https://www.bbc.com/news/world-middle-east-51945468
Mar 18, 2020!&^https://www.bbc.com/news/newsbeat-51907663
Mar 17, 2020!&^https://www.bbc.com/news/newsbeat-51908143
Mar 17, 2020!&^https://www.bbc.com/news/uk-england-london-51923615
Mar 18, 2020!&^https://www.bbc.com/news/business-51941987
Mar 17, 2020!&^https://www.bbc.com/news/uk-england-oxfordshire-51966939
Mar 17, 2020!&^https://www.bbc.com/mundo/noticias-51902853
Mar 19, 2020!&^https://www.bbc.com/news/newsbeat-51952766
Mar 19, 2020!&^https://www.bbc.com/news/uk-england-51962904
Mar 19, 2020!&^https://www.bbc.com/news/uk-england-london-51946409
Mar 19, 2020!&^https://www.bbc.com/news/uk-england-hampshire-52032411
Mar 19, 2020!&^https://www.bbc.com/news/uk-england-birmingham-51962556
Mar 20, 2020!&^https://www.bbc.com/news/uk-scotland-edinburgh-east-fife-51974974
Mar 20, 2020!&^https://www.bbc.com/news/technology-51966087
Mar 20, 2020!&^https://www.bbc.com/mundo/noticias-51986136
Mar 19, 2020!&^https://www.bbc.com/hindi/social-51958352
Mar 21, 2020!&^https://www.bbc.com/news/uk-england-51988671
Mar 21, 2020!&^https://www.bbc.com/news/uk-scotland-highlands-islands-51990534
Mar 21, 2020!&^https://www.bbc.com/news/uk-wales-51990604
Mar 21, 2020!&^https://www.bbc.com/news/world-australia-51984725
Mar 22, 2020!&^https://www.bbc.com/news/uk-northern-ireland-51994429
Mar 21, 2020!&^https://www.bbc.com/news/uk-scotland-edinburgh-east-fife-51974974
Mar 23, 2020!&^https://www.bbc.com/news/world-52010304
!&^https://www.bbc.com/news/entertainment-arts-52002447
Mar 24, 2020!&^https://www.bbc.com/news/uk-wales-52019550
Mar 24, 2020!&^https://www.bbc.com/news/business-52011915
Mar 23, 2020!&^https://www.bbc.com/news/uk-england-essex-52010023
Mar 23, 2020!&^https://www.bbc.com/news/uk-scotland-52008507
Mar 24, 2020!&^https://www.bbc.com/mundo/noticias-internacional-52025463
Mar 26, 2020!&^https://www.bbc.com/news/uk-england-hampshire-52032411
Mar 26, 2020!&^https://www.bbc.com/news/business-52040532
Mar 25, 2020!&^https://www.bbc.com/news/uk-52029877
Mar 25, 2020!&^https://www.bbc.com/news/uk-52018136
Mar 26, 2020!&^https://www.bbc.com/pidgin/tori-52047668
Mar 26, 2020!&^https://www.bbc.com/news/live/world-52044452/page/2
Mar 25, 2020!&^https://www.bbc.com/mundo/noticias-america-latina-52013943
Mar 26, 2020!&^https://www.bbc.com/mundo/noticias-america-latina-52043777
Mar 27, 2020!&^https://www.bbc.com/news/business-52061206
Mar 27, 2020!&^https://www.bbc.com/news/uk-52058013
Mar 29, 2020!&^https://www.bbc.com/news/world-europe-52085363
Mar 30, 2020!&^https://www.bbc.com/news/uk-wales-52076789
Mar 29, 2020!&^https://www.bbc.com/news/av/uk-politics-52081873/coronavirus-gove-defends-not-joining-eu-ventilator-scheme

# 如果要重跑或手動處理，將資料append到bbc_news.txt
